epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,49.3403,1.07613,0.83165,1.21421,0.86938,1,0.93952,0.63809,1.22113,0.77049,1.3542,0.00171004,0.00171004,0.00171004
77,49.9366,1.20197,0.91286,1.28645,0.92614,0.96938,0.97667,0.67515,1.1736,0.75869,1.32975,0.00170267,0.00170267,0.00170267
78,50.5373,1.13355,0.86205,1.269,0.92149,0.96907,0.97667,0.63445,1.30619,0.77513,1.4238,0.00169522,0.00169522,0.00169522
79,51.1714,1.22569,0.95807,1.30476,0.92149,0.96907,0.97667,0.63445,1.30619,0.77513,1.4238,0.0016877,0.0016877,0.0016877
80,51.781,1.20931,0.97039,1.30624,0.94131,0.945,0.99143,0.58108,1.55974,0.79782,1.63552,0.00168011,0.00168011,0.00168011
81,52.3858,1.14043,0.95679,1.28352,0.94597,0.95745,0.99333,0.58273,1.56249,0.77255,1.62141,0.00167244,0.00167244,0.00167244
82,53.0363,1.15302,0.90927,1.27407,0.91744,0.94872,0.98984,0.66798,1.30291,0.73954,1.41896,0.0016647,0.0016647,0.0016647
83,53.6477,1.11974,0.881,1.26154,0.91744,0.94872,0.98984,0.66798,1.30291,0.73954,1.41896,0.00165689,0.00165689,0.00165689
84,54.3244,1.11479,0.88185,1.25511,0.90897,0.94872,0.98833,0.72815,1.05346,0.71794,1.25099,0.001649,0.001649,0.001649
85,54.9439,1.13862,0.86244,1.25093,0.91182,0.94872,0.97167,0.72802,0.99042,0.68479,1.21329,0.00164105,0.00164105,0.00164105
86,55.5343,1.14774,0.80933,1.25859,0.91084,0.94872,0.98984,0.7369,1.1045,0.67138,1.27151,0.00163303,0.00163303,0.00163303
87,56.1472,1.18821,0.87254,1.27189,0.91084,0.94872,0.98984,0.7369,1.1045,0.67138,1.27151,0.00162494,0.00162494,0.00162494
88,56.742,1.13857,0.86717,1.28575,0.9159,0.94872,0.98984,0.68693,1.2458,0.70379,1.36828,0.00161678,0.00161678,0.00161678
89,57.3345,1.10707,0.83298,1.23257,0.84875,0.96728,0.95825,0.65206,1.30143,0.72677,1.42511,0.00160855,0.00160855,0.00160855
90,57.9125,1.11662,0.86752,1.2458,0.87887,0.89744,0.95161,0.65514,1.23744,0.73751,1.38077,0.00160026,0.00160026,0.00160026
91,58.5129,1.11282,0.84995,1.22213,0.87887,0.89744,0.95161,0.65514,1.23744,0.73751,1.38077,0.00159191,0.00159191,0.00159191
92,59.0941,1.14524,0.90475,1.2894,0.89688,0.89744,0.96267,0.70118,1.13056,0.71847,1.29809,0.00158349,0.00158349,0.00158349
93,59.8098,1.24005,0.93279,1.33689,0.90945,0.87761,0.9262,0.67637,1.12744,0.72267,1.29841,0.00157501,0.00157501,0.00157501
94,60.3915,1.05579,0.78128,1.16488,0.9427,0.92094,0.93492,0.63664,1.26779,0.73145,1.40499,0.00156646,0.00156646,0.00156646
95,61.0165,1.06871,0.81287,1.22335,0.9427,0.92094,0.93492,0.63664,1.26779,0.73145,1.40499,0.00155786,0.00155786,0.00155786
96,61.6264,1.15788,0.91333,1.28403,0.94586,0.93996,0.9631,0.63084,1.41919,0.75477,1.53162,0.00154919,0.00154919,0.00154919
97,62.2399,1.15726,0.87867,1.25242,0.95467,0.97222,0.96926,0.61352,1.42622,0.69776,1.53412,0.00154047,0.00154047,0.00154047
98,62.8491,1.14834,0.84122,1.27258,0.95337,1,0.99333,0.68696,1.25958,0.6407,1.3949,0.00153169,0.00153169,0.00153169
99,63.4315,1.11119,0.8175,1.27017,0.95337,1,0.99333,0.68696,1.25958,0.6407,1.3949,0.00152285,0.00152285,0.00152285
100,64.0538,1.02664,0.80936,1.17845,0.97793,1,0.995,0.72543,1.08258,0.60893,1.27465,0.00151395,0.00151395,0.00151395
101,64.758,1.15804,0.79867,1.278,0.97548,1,0.995,0.73878,1.04654,0.59307,1.25698,0.001505,0.001505,0.001505
102,65.3599,1.07588,0.81976,1.21985,0.97889,1,0.995,0.72103,1.12318,0.62646,1.31824,0.00149599,0.00149599,0.00149599
103,65.9457,1.03347,0.75565,1.16203,0.97889,1,0.995,0.72103,1.12318,0.62646,1.31824,0.00148694,0.00148694,0.00148694
104,66.549,1.06163,0.8186,1.23193,0.97903,0.9921,0.995,0.69169,1.26192,0.66725,1.41647,0.00147783,0.00147783,0.00147783
105,67.1799,1.16962,0.84056,1.27805,0.97798,0.97433,0.99333,0.66135,1.33899,0.68588,1.47079,0.00146866,0.00146866,0.00146866
106,67.7625,1.1654,0.91627,1.28109,0.95521,0.97436,0.99333,0.69608,1.25559,0.65156,1.398,0.00145945,0.00145945,0.00145945
107,68.3698,1.20189,0.93058,1.31273,0.95521,0.97436,0.99333,0.69608,1.25559,0.65156,1.398,0.00145019,0.00145019,0.00145019
108,68.9329,1.0354,0.77705,1.209,0.96723,0.97436,0.99333,0.72034,1.14337,0.61456,1.32153,0.00144088,0.00144088,0.00144088
109,69.5633,1.08271,0.859,1.2365,0.93994,0.97948,0.99143,0.7292,1.16579,0.60782,1.33024,0.00143152,0.00143152,0.00143152
110,70.2473,1.01058,0.76925,1.22706,0.9826,0.9608,0.99333,0.7101,1.28105,0.62903,1.40811,0.00142212,0.00142212,0.00142212
111,70.7994,1.09452,0.83576,1.24718,0.9826,0.9608,0.99333,0.7101,1.28105,0.62903,1.40811,0.00141267,0.00141267,0.00141267
112,71.398,1.05947,0.77571,1.22487,0.98454,0.94487,0.98984,0.69408,1.35017,0.64207,1.45571,0.00140318,0.00140318,0.00140318
113,72.0143,1.17324,0.88976,1.30276,0.94795,0.92373,0.98779,0.69202,1.30142,0.65976,1.40913,0.00139364,0.00139364,0.00139364
114,72.5749,1.07189,0.8073,1.22818,0.9414,0.96083,0.98611,0.70766,1.17032,0.65777,1.32074,0.00138406,0.00138406,0.00138406
115,73.1855,1.02858,0.80718,1.18704,0.9414,0.96083,0.98611,0.70766,1.17032,0.65777,1.32074,0.00137444,0.00137444,0.00137444
116,73.814,1.09023,0.81469,1.2224,0.94683,0.98112,0.98833,0.71885,1.05507,0.66463,1.25503,0.00136478,0.00136478,0.00136478
117,74.4086,1.06364,0.80406,1.21235,0.93429,0.98641,0.98833,0.72589,1.05319,0.65876,1.25216,0.00135509,0.00135509,0.00135509
118,75.0245,1.08301,0.82841,1.2159,0.9405,0.98425,0.99189,0.71745,1.13537,0.65003,1.31167,0.00134535,0.00134535,0.00134535
119,75.7194,1.04664,0.77902,1.23623,0.9405,0.98425,0.99189,0.71745,1.13537,0.65003,1.31167,0.00133558,0.00133558,0.00133558
